,value,period,hidisp_s,lodisp_s,hidisp_b,lodisp_b,category
b 16 35,29178.896433803635,159.0,,148548.84956418356,,,Lower 80% of displacements
b 16 40,30410.179667414675,159.0,170126.36471163866,,,,Upper 20% of displacements
b 16 45,30947.05144181604,159.0,,191866.00894727203,,,Lower 80% of displacements
b 16 50,30619.9839488289,159.0,,213739.4019568842,,,Lower 80% of displacements
b 16 55,31634.40796536624,159.0,,,,235504.64107084833,Lower 80% of displacements
b 16 60,32989.483403875616,159.0,,,,257277.0777581014,Lower 80% of displacements
b 16 65,34307.580981830135,159.0,,,,279282.9096610724,Lower 80% of displacements
b 16 70,35426.938193362854,159.0,,,,301342.45182919677,Lower 80% of displacements
b 16 75,36834.386052637354,159.0,,,,323450.0979196836,Lower 80% of displacements
b 16 80,37811.573340879055,159.0,,,,345711.0929093276,Lower 80% of displacements
b 16 85,38601.70319428588,159.0,,,,368112.2674655547,Lower 80% of displacements
b 16 90,39888.037762344466,159.0,,,,390543.96031772945,Lower 80% of displacements
b 16 95,40955.94870802705,159.0,,,,413107.06942508183,Lower 80% of displacements
b 16 100,42031.08335472633,159.0,,,,435590.2269101764,Lower 80% of displacements
b 17 5,22595.95090516508,159.0,,19915.495355912404,,,Lower 80% of displacements
b 17 10,23424.43699292327,159.0,,39986.970603353046,,,Lower 80% of displacements
b 17 15,24460.459348173525,159.0,,60134.5183115169,,,Lower 80% of displacements
b 17 20,25763.091714509916,159.0,,80352.7138832803,,,Lower 80% of displacements
b 17 25,26918.083355945502,159.0,100644.87763092411,,,,Upper 20% of displacements
b 17 30,27734.21079168483,159.0,,121079.32362525145,,,Lower 80% of displacements
b 17 35,28867.515603730604,159.0,,141581.26184324303,,,Lower 80% of displacements
b 17 40,29971.37871186733,159.0,,162033.95475938523,,,Lower 80% of displacements
b 17 45,31017.711244876027,159.0,182694.6336850657,,,,Upper 20% of displacements
b 17 50,29997.659990345517,159.0,,203561.2359649517,,,Lower 80% of displacements
b 17 55,31122.23208639717,159.0,,,,224349.67370328936,Lower 80% of displacements
b 17 60,32068.560679507467,159.0,,,,245136.7001226326,Lower 80% of displacements
b 17 65,33481.410835218856,159.0,,,,265925.68569192267,Lower 80% of displacements
b 17 70,34741.84001696979,159.0,,,,286940.9320827967,Lower 80% of displacements
b 17 75,35777.77907131822,159.0,,,,308000.9746746794,Lower 80% of displacements
b 17 80,37117.69785179353,159.0,,,,329101.9343149635,Lower 80% of displacements
b 17 85,38053.754032414916,159.0,,,,350347.09096852643,Lower 80% of displacements
b 17 90,38770.18185922974,159.0,,,,371738.5596482535,Lower 80% of displacements
b 17 95,40018.38824788084,159.0,,,,393142.77971707017,Lower 80% of displacements
b 17 100,41057.869264192275,159.0,,,,414648.9320737666,Lower 80% of displacements
b 18 5,22539.05990615665,159.0,,18972.724097425013,,,Lower 80% of displacements
b 18 10,23572.739916819053,159.0,38096.68171472305,,,,Upper 20% of displacements
b 18 15,24211.56168854013,159.0,,57296.97649736962,,,Lower 80% of displacements
b 18 20,25421.872649828365,159.0,,76566.52793929885,,,Lower 80% of displacements
b 18 25,26585.84790838445,159.0,,95871.01452787267,,,Lower 80% of displacements
